SeriesInd,group,Var01,Var02,Var03,Var05,Var07
40874,S03,37.99857329,129996300,37.17856986,37.667141,37.27999871
40875,S03,37.52142714,160951700,36.58571243,37.24428557,36.87285614
40876,S03,37.09999843,112052500,36.41428757,36.55571371,36.75
40879,S03,37.51285557,107013900,37.08856957,37.20571514,37.40714257
40880,S03,37.60857014,104413400,37.06000143,37.28714371,37.41857143
40881,S03,37.75428386,105093800,37.18714143,37.54857257,37.568573
40882,S03,37.59714129,72274300,37.22142786,37.38999943,37.38571543
40883,S03,37.35571286,111224400,36.804287,37.11142729,37.155716
40886,S03,37.45000071,75782000,37.08142857,37.35428614,37.39285657
40887,S03,37.20714186,112980000,36.79285814,37.12142943,37.05857086
40888,S03,36.52714157,155013600,35.68714143,36.485714,35.74142843
40889,S03,36.15714257,133730100,35.15999986,35.24142843,35.97000129
40890,S03,35.98285671,88717300,35.58428571,35.95000071,35.58571243
40893,S03,35.71571357,79607500,35.23143,35.36857229,35.37714386
40894,S03,36.37571329,105660100,35.59999843,35.72571557,35.99571614
40895,S03,36.38142771,84924000,35.93999857,36.05142971,36.15285871
40896,S03,36.21142957,106676500,35.52571486,36.119999,35.69714357
40897,S03,36.27428443,96057500,35.57143014,35.62714386,35.662857
40900,S03,36,103510400,35.03571314,35.97000129,35.11428457
40901,S03,34.71428686,150641400,34.09285743,34.667141,34.27571486
40902,S03,34.85571286,149216900,33.88571543,34.00571443,34.69857029
40903,S03,35.10714343,116626300,34.32571414,35.06428529,34.32571414
40904,S03,34.65857314,137097800,33.65142829,34.53571314,34.51714329
40907,S03,35.10714343,95822300,34.38285829,34.39428714,34.64285657
40908,S03,34.93714143,105196700,34.33571243,34.54999929,34.72857286
40909,S03,35.92285543,174259400,35.18285757,35.35285571,35.76142886
40910,S03,36.02428443,103856900,35.50999829,35.89428714,36.02428443
40911,S03,36.96857071,130197200,36.35714343,36.44142914,36.967144
40915,S03,37.07571414,85639400,36.60714343,36.662857,36.83000186
40916,S03,37.77000043,131637800,37.014286,37.11142729,37.56000143
40917,S03,38.07428743,109643800,37.56000143,37.86285786,37.58142857
40918,S03,37.78571314,96885600,37.34285743,37.59857171,37.630001
40921,S03,38.32571414,97195000,37.96571357,37.97428514,38.148571
40922,S03,38.452858,102037600,37.931427,38.02999871,38.29428486
40923,S03,38.62571329,107342200,38.26285557,38.31000143,38.60285571
40924,S03,39.52428443,163025800,38.5,38.60571286,39.50999829
40925,S03,39.70857243,158619300,39.09714129,39.66999814,39.33856957
40928,S03,40.54000086,164669400,39.40714257,39.43999857,40.46142957
40929,S03,41.04999929,167018600,40.398571,40.55142971,40.53857043
40930,S03,41.13999943,146322400,40.344284,40.38714214,41.10714343
40931,S03,41.82285686,196529200,40.85714343,40.90428543,41.27428443
40932,S03,41.93285757,162372000,41.50714114,41.72857286,41.75999829
40935,S03,42.10428614,120708700,41.57285686,41.99714286,41.594284
40936,S03,41.681427,258760600,39.28571314,41.681427,40.97999957
40937,S03,41.40142829,117411000,40.85714343,41.032856,41.05285643
40938,S03,41.42856986,168347900,40.17856986,41.28571314,40.53571314
40939,S03,40.93999857,112035700,40.19285586,40.87857057,40.36000057
40942,S03,40.41428757,108825500,39.681427,40.22857286,39.80571371
40943,S03,41.34999843,125491800,40.25999829,40.28571314,41.27714157
40944,S03,41.71285629,167717200,40.75142671,41.369999,41.31285857
40945,S03,41.49714286,102099900,40.98714443,41.47714229,41.31714243
40946,S03,42.07143014,164600800,41.42856986,41.67285543,42.00999829
40949,S03,42.46285629,106938300,42.08571243,42.10571286,42.19428629
40950,S03,42.78571314,139636000,41.78428643,42.20142743,42.648571
